城市,关键字,职位名称,反馈率,公司名称,职位月薪,工作地点,公布时间,职位链接,岗位职责,技能要求,公司地址,保存时间,公司地点,公司性质,公司规模,工作经验,学历要求,职业薪水
北京,python,资深后端开发工程师,,北京极客晨星科技发展有限公司,20001-30000,北京,最新,http://jobs.zhaopin.com/CZ754518470J00024759311.htm,1、和其它系统工程师一起负责对内容平台的功能完善和增强；2、利用先进的互联网技术构建出强大而灵活的内容平台，包括内容管理，用户管理等通用功能以及各种极客晨星特有的创新系统功能；3、协助上级领导完成其他工作事宜。,1.对工作有热情，富有责任心；2.计算机或者相关专业本科或以上学历；3.5年以上计算机软件开发经验，3年以上服务器平台开发经验；；4.熟悉Linux系统；5.熟悉流媒体内容服务平台，有大规模音视频直播和录播平台开发部署经验者优先；6.至少熟练掌握下面技术/平台中的3种Nodejs，Mongodb，MySql，docker，nginx；7.丰富的计算机软件开发经验，熟练掌握下面语言中的3种Python，Javavscript，C，Java，C++；8.精通各种互联网协议，对TCP/IP有深入的理解；9.有开发和部署高性能，大规模用户的互联网系统经验者优先。 ,北京学清路圣熙8号,2018-03-18,北京,民营,20-99人,5-10年,本科,20001-30000元/月
北京,python,前端开发工程师,,北京极客晨星科技发展有限公司,15001-20000,北京,最新,http://jobs.zhaopin.com/CZ754518470J00024755211.htm,1.负责公司平台产品的基础架构的设计与实现；2.优化Web前端性能，研究前端新技术；3.开发、维护、扩展前端代码框架，不断提升前端产品体验；4、该职位和其它前端工程师和系统工程师一起丰富，完善，升级课程内容；5、课程内容涵盖模块化编程，Javascript，Python，网页，手机编程等内容；6、协助上级领导完成其他工作事宜。,1.对工作有热情，富有责任心；2.计算机或者相关专业本科或以上学历；3.3年以上计算机软件开发经验，熟悉JS，JQuery，有Python经验者优先；4.熟悉计算机数据结构和算法；5.熟悉各种前端技术，尤其是HTML5，CSS3，Bootstrap，React等；6.熟悉前后端数据交互开发，熟悉基于JSON格式的前后端数据交互；7.熟悉常用互联网标准和技术，对TCP/IP有深刻认识。,北京学清路圣熙8号,2018-03-18,北京,民营,20-99人,3-5年,本科,15001-20000元/月
北京,python,游戏开发工程师,,北京极客晨星科技发展有限公司,12000-18000,北京,最新,http://jobs.zhaopin.com/CZ754518470J00024760311.htm,1、专注于创造在游戏场景中寓教于乐的课程内容；2、游戏场景包括创造新的网页游戏以及与现有游戏（如Minecraft）的深度互动；3、协助上级领导完成其他工作事宜。,1.对工作有热情，富有责任心；2.计算机或者相关专业本科或以上学历；3.3年以上计算机软件开发经验，精通Javascript，Python或者Java；4.2年以上游戏开发经验，有用户界面和用户体验的软件经验；5.熟悉各种前端技术，尤其是HTML5，Bootstrap，React等；6.熟悉常用互联网标准和技术，对TCP/IP有深刻认识；7.熟悉Minecraft游戏，尤其是熟悉Minecraft编程者优先考虑。,北京学清路圣熙8号,2018-03-18,北京,民营,20-99人,1-3年,本科,12000-18000元/月
北京,python,运维工程师,,北京易天新动网络科技有限公司,20000-30000,北京,最新,http://jobs.zhaopin.com/CC228412318J00027904309.htm,1.负责服务器的安装、上架、调试；2.负责线上服务器平台、网络构架的搭建，保障服务稳定安全可用；3.负责线上业务的监控、安全；4.负责预防、处理突发事件；5.管理和配置软硬件的监控；6.负责应用系统的上线、监控、故障处理等。,1.计算机相关专业本科及以上学历；2.3年以上大中型在线系统运维工作经验；3.精通Linux系统及常见服务的安装配置，熟悉常见的负载均衡实现方案并有实际实施经验；4.精通Apache、NginX、MySQL、TOMCAT、DNS、REDIS、Memcache等常用服务的安装、配置和优化；5.熟练使用自动化工具saltstack/puppet6.熟练使用监控工具zabbix/centreon7.熟悉路由器，交换机，防火墙，负载均衡等网络及安全设备的工作原理和特性；8.熟悉linux下各种开发环境和应用工具的安装、使用和维护；9.熟悉至少2种以上的脚本语言，包括Shell、PERL、PHP、Python等；10.高度的责任感，较强的故障分析及排除能力。,北京西城区德胜门外大街117号德胜尚城D座2层,2018-03-18,北京,合资,100-499人,3-5年,本科,20000-30000元/月
北京,python,爬虫工程师（知识产权）,96%,重庆猪八戒网络有限公司,15001-20000,北京,招聘中,http://jobs.zhaopin.com/199566025253824.htm,1、研究各种网页、app接口，探寻特点和规律，攻破各种反爬虫；2、编写抓取互联网内容的爬虫；3、实时监控爬虫的进度和警报反馈。,1、精通Javascript，理解并掌握javascript语言核心技术DOM、BOM。2、精通如下两语言之一（python/java）。3、熟悉Node.js标准库的使用。4、了解基本的HTTP\TCP协议知识。5、熟悉mysql等关系数据库及nosql数据库，根据业务进行数据库设计。6、熟练使用git进行项目版本管理。7、能够持续学习，有比较优秀的动手能力，热衷技术，精益求精。,北京海淀区西北旺信息路30号上地大厦8层801室,2018-03-18,北京,民营,1000-9999人,3-5年,本科,15001-20000元/月
北京,python,运维工程师,,北京新奥特云视科技有限公司,10000-20000,北京,最新,http://jobs.zhaopin.com/653878828250165.htm,1、负责应用系统和云平台的配置管理、环境搭建、系统发布等工作；2、负责应用系统和云平台的管理与维护、日常监控、故障排除、网络优化，保障系统安全稳定不间断运行；3.公司相关网络环境的管理和优化，保障网络环境安全稳定和畅通4、撰写文档，编写系统运维手册、部署文档、性能参数说明。 ,1、本科以上学历，计算机及其相关专业，两年以上相关工作经验；2、有维护大中型IT系统（服务器规模100到2000台）的经验优先；3、熟悉Linux系统管理维护，可编写基本Shell，python脚本；4、能安装配置常用软件，如Nginx、tomcat、nfs、rsync等；优化和使用过LVS、DNS、MongoDB、MySQL、Redis、Memache、RabbitMQ等；5、熟练掌握各种日志工具，具备快速故障定位和排除的能；。6、熟悉Linux系统，了解网络基本技术，熟悉TCP/IP协议路由，VPN，NAT，防火墙等基本原理；7、了解RIP/OSPF/BGP、MPLSL2/L3VPN、组播技术以及交换、安全、无线等相关技术；8、良好的团队合作精神，积极主动的工作态度，能独立解决线上问题；  ,北京市海淀区上地六街数字传媒大厦5层508,2018-03-18,北京,股份制企业,100-499人,3-5年,本科,10000-20000元/月
北京,python,白盒测试工程师,,北京世拓方舟科技有限公司,10000-20000,北京,最新,http://jobs.zhaopin.com/CC389048928J00029821714.htm,1、独立设计和执行测试方案和测试用例2、进行设备搭建和维护测试环境3、与开发人员一起配合开发完成开发工作，与开发人员同步完成测试工作4、负责测试文档的撰写,1、全日制大学本科及以上学历，计算机软件等相关专业2、具有2年以上软件测试开发经验，熟悉软件工程、测试流程、测试文档标准，精通测试用例设计方法3、熟练使用Linux操作系统，熟悉C/C++/Python等主流语言4、有撰写自动化测试工具以及搭建自动化测试平台的实战经验，设计用例并编写代码实现自动化测试5、良好的沟通表达能力6、接受新事物能力强，工作积极主动，责任心强，有团队意识工作时间周一至周五，早上930-下午1800，周末双休；法定节假日正常休息；薪资福利1、基本工资10000-20000+司龄工资+绩效奖金+每年定期调薪2、六险一金，餐补+交通补+通讯补+房补+过节费+年终奖+带薪年假,北京市朝阳区北苑路36号金苑大厦402,2018-03-18,北京,民营,20-99人,3-5年,本科,10000-20000元/月
北京,python,测试工程师,,北京酷车易美网络科技有限公司,6000-9000,北京,最新,http://jobs.zhaopin.com/366418081250241.htm,,1、 熟悉测试流程，掌握测试方法，运用测试理论来设计用例，且能独立跟进需求，完成测试任务。2、 经历过项目产品需求评审，需求分析，设计测试用例，执行测试等系列流程，针对工作需要调整测试策略。3、 思维发散性强，经历过整体项目者，进行过测试数据处理，流程业务，进行过接口测试经验优先。4、 至少会一门语言并运用，如pythonjava，熟悉SQL语句，且在之前项目经验中使用过自动化框架。5、 至少2年工作经验，有过电商系统，移动端APP测试经验，CRM后台管理测试工作经验。岗位职责1.     根据产品要求完成相关测试工作，编写测试方案，测试用例，并执行反馈BUG2.     提交测试结果分析，协调开发修改BUG，完成产品需求3.     优化测试方案，针对不同情况来定制不同计划4.     促进产品更新改进，及时对产品不妥当及缺陷提出优化建议5.  有责任心（很重要），工作态度端正，能独立完成工作，性格开朗，沟通能力强。,朝阳区北苑路170号凯旋城E座902-903,2018-03-18,北京,民营,100-499人,1-3年,大专,6000-9000元/月
北京,python,android实训项目经理,,北京八维研修学院,20001-30000,北京,最新,http://jobs.zhaopin.com/187965628251082.htm,,,北京市海淀区上地软件园南路57号北京八维教育,2018-03-18,北京,民营,1000-9999人,5-10年,大专,20001-30000元/月
北京,python,运维工程师,,芒果在线网络科技(北京)有限公司,12000-15000,北京,最新,http://jobs.zhaopin.com/CC382663582J00029320013.htm,1、负责公司业务系统、服务器、网络、数据库和应用环境的日常搭建、监控和维护；2、7*24小时运维支持以及紧急情况下的应急处理；3、研究服务架构，发现潜在问题，制定系统调整和优化方案，提高系统的健壮性和效率；4、负责撰写部署文档，运维手册等相关技术文档，积极配合其他部门人员，提供技术支持；5、提升运维工作自动化以及智能化程度；,1、熟悉Linux操作系统的维护及日常管理工作，能够对服务进行性能调优、定位故障并处理；2、熟悉tcp/ip协议，并能够熟练使用tcpdump，wireshark等软件进行故障分析；3、熟悉Shell、Python等编程脚本，能够编写常用的运维脚本；4、熟练nginx、apache、php、svn等常用软件的安装、配置及管理；5、熟练mysql数据库的管理，配置，优化。了解redis，mongodb等nosql数据库；6、熟悉zabbix，grafana等常用的运维监控以及监控展示软件的安装、配置及管理；7、同岗位工作经验两年以上，有一定的系统和网络安全知识，熟悉ddos，cc，sql注入等常见的安全问题原理和防范手段；8、熟悉阿里云，有大型互联网企业运维经验者优先考虑；9、为人踏实好学，勤于思考，乐于分享。,北京市朝阳区光华路soho一期三单元1608,2018-03-18,北京,民营,20-99人,3-5年,本科,12000-15000元/月
