城市,关键字,职位名称,反馈率,公司名称,职位月薪,工作地点,公布时间,职位链接,岗位职责,技能要求,公司地址,保存时间,公司地点,公司性质,公司规模,工作经验,学历要求,职业薪水
北京,.net core,.NET开发工程师,51%,云启正通（北京）科技有限公司,15000-25000,北京,招聘中,http://jobs.zhaopin.com/451630632250004.htm,,1)精通.NetFramework或.NetCore，2年以上.NET开发经验2)精通C#语言，熟悉HTML5/CSS/JS等前端常用编程语言3)精通RestfulWEBAPI/MVC/AOP的开发4)精通常用的O/RMapping框架(如EF)，熟悉常用的DI框架、DTOMapping框架5)熟悉常见的设计模式，熟悉DDD/ABP框架开发的优先录用6)熟悉MySql等关系型数据库和MongoDb等NoSql数据库7)熟悉单元测试，有良好的编码风格、质量意识，会熟练使用IDE/Github开发和配置工具8)思路清晰，具备良好的沟通能力和团队协作精神，善于学习、总结，乐于分享2.工作职责1)负责公司后端业务服务的设计和开发2)协助架构师完成技术架构设计、数据模型设计3)协助产品经理完成业务需求分析、产品功能设计,北京市海淀区清华东路35号北林学研中心,2018-03-18,北京,民营,20-99人,1-3年,本科,15000-25000元/月
北京,.net core,Asp.Net工程师（BS方向）,,北京信者科技有限公司,8000-15000,北京,招聘中,http://jobs.zhaopin.com/624686522250201.htm,1、按系统设计完成功能模块的编写；2、负责功能模块编码实现和单元测试、系统间接口的开发及测试；3、参与公司业务系统的需求分析、系统设计工作、撰写详细的设计文档和相关技术文档；4、负责对开发内容的单元测试、集成测试；5、负责解决开发过程中的技术问题；6、对技术实施人员进行培训。,1、计算机及相关专业毕业，大学本科以上学历；具有Asp.NetCore开发工作经验者优先录用；2、三年以上软件行业开发经验或相关工作经验优先录用；3、精通.NET开发技术，熟悉VisualStudio开发环境；精通C#/ASP.NET；良好的C#功底；深入了解B/S系统结构，熟练掌握软件的系统设计，开发控制；精通SQLserver等数据库开发；4、熟悉HTML、DHTML、XML、Javascript、Webservice；熟练使用javascript，css，div布局，了解web2.0标准，掌握Ajax及jquery的相关技术；5、有较强的学习能力，能独立阅读资料，掌握新的技术、方法；具有良好的编码风格和编程习惯；6、逻辑思维性强，办事沉稳、细致、思维活跃，有创新精神，良好的团队合作意识。,北京市海淀区翠湖南环路13号院北京协同创新研究院5号楼3层,2018-03-18,北京,民营,20-99人,3-5年,大专,8000-15000元/月
北京,.net core,高级.net开发工程师,,北京信源国检科技有限公司,8000-15000,北京-朝阳区,最近,http://jobs.zhaopin.com/255741385250201.htm,1.根据开发计划和功能要求，进行相应模块的软件开发；2.在规范的软件过程管理方法要求下进行编码，测试和编写相关文档；3.进行数据库设计、接口设计等研发文档的编写，负责对所属模块进行单元测试。,1、具备3年以上C#.net开发经验、熟悉B/S架构应用开发；2、熟悉Mysql、SqlServer，熟练使用Sql语言；3、熟悉C#，ASP.NETMVC，ASP.NETWebAPI的开发，了解使用EF、EF性能调优；4、熟悉Docker，.NetCore等技术者优先。,北京市朝阳区安慧北里秀园15号楼海亚大厦5层,2018-03-18,北京-朝阳区,民营,20-99人,3-5年,本科,8000-15000元/月
北京,.net core,.NET开发工程师,,瞻世趣科技发展(北京)有限公司,10000-20000,北京,最近,http://jobs.zhaopin.com/415052082250015.htm,,1.2年或以上商业开发经验(不算实习)，熟悉.Net平台和C#语言，参与过大中型系统架构开发。**有数据分析系统或复杂管理系统经验者优先**。2.深刻理解面向对象思想，熟悉多线程编程模型。了解IOC、AOP等常用设计理念。**了解分布式架构设计、微服务架构设计者优先**。3.熟悉.Net平台下的MVC架构，掌握.Net企业级编程技术，了解RestfulAPI设计，了解消息队列、分布式缓存。**有.NetCore、Mono、Hadoop、Docker经验者优先**。4.熟悉关系型数据库（SQLServer\Oracle\Mysql\Postgresql），可熟练编写SQL语句及存储过程。**有NoSQL（Redis、MongoDB）经验者优先**。5.有良好的编码习惯和单元测试习惯，能遵循开发流程、文档规范和编码规范，对新技术有钻研精神。**有长期维护的技术博客者优先**6.有良好的职业素养和沟通交流能力，具有优秀的团队意识和合作精神。 学历要求大专（含）以上薪金待遇月薪税前10000-20000元。福利待遇五险  招聘人数3名其他办公地点交通便利，靠近地铁、公交站。地处高科技园区，园区有食堂。,北京市丰台区中核路1号院1号楼3层303室,2018-03-18,北京,股份制企业,20-99人,3-5年,大专,10000-20000元/月
北京,.net core,C#/net研发工程师,,北京汉仪科印信息技术有限公司,10000-15000,北京,招聘中,http://jobs.zhaopin.com/CC395082835J00025096812.htm,负责windows桌面应用开发；负责WebAPI开发；负责web服务配置及监控程序开发；与产品经理共同研究需求，并进行应用的持续优化；负责公司其他应用的研发。,本科及以上学历，计算机、通信或信息类相关专业；精通C#/.NET编程开发，熟悉B/S和C/S开发模式；精通.netcore2.0，能够熟练开发WebApi，了解RESTful；掌握SQLServer、oracle等数据库的设计和开发技术，熟悉数据库的安装配置，优化和备份；掌握WebService和Romting相关开发技术；掌握IIS配置与维护；能够独立承担研发任务；工作主动性高，善于沟通，主动学习，能准确完整的表达研发思路，有较强的责任心和执行能力，具有良好的团队合作精神。,北京市海淀区翠微路2号,2018-03-18,北京,外商独资,100-499人,1-3年,本科,10000-15000元/月
北京,.net core,对日Asp.net开发工程师,,北京阿提拉科技有限公司,8001-10000,北京,最近,http://jobs.zhaopin.com/147646001250677.htm,1.参与软件的设计、开发、测试，能根据概要说明书编写软件功能设计或模块设计说明书；解决软件开发过程中关键和难点问题；2.负责定义和评估工作任务，协助计划的制定及执行；3.指导初级、中级软件开发工程师的工作;并进行一些必要的技术培训；4.可承担项目中开发团队管理，在项目组中需要能胜任开发组长职务；5.积极与产品经理及相关项目人员沟通与应变能力。,1.精通Asp.net/C#语言，对.Net框架有深入理解，对.NetCore有实际项目开发经验者优先；2.熟悉W3C标准，熟练掌握ASP.NETMVC、WebApi等Web开发技术；3.5年以上的.net使用经验，2个以上.net中大型项目开发经验，有丰富的企业级系统开发经验，熟练使用SQLServer、MySql等主流数据库系统；4.深入理解面向对象设计原则，具备良好的OO设计和开发能力；5.对.Net框架有深入理解，对日常工作中的技术难题有独立钻研攻克的能力；6.有工控硬件设备的.Net开发经验者优先；7.良好的沟通能力和团队合作意识、有研发团队管理经验并对团队工作任务有足够的把控能力，具有一定的产品思维；8、懂日语(能读能写).,北京市西城区阜成门外大街2号万通新世界A1008室,2018-03-18,北京,民营,100-499人,,不限,8001-10000元/月
北京,.net core,.net软件工程师,,熙兆(北京)知识产权代理有限公司济南分公司,4001-6000,北京-朝阳区,招聘中,http://jobs.zhaopin.com/CC388142931J00044631706.htm,1.进行产品后台的所需要的接口开发、测试与维护工作2.熟悉公司的业务，准确理解需求，与项目组成员协同开发相关功能3.公司无外包业务，均为内部产品开发项目，无需出差，加班较少,1、熟悉.netFrame框架；熟悉Asp.netMVC，.netCore的开发模式；熟悉C#开发技术。2、熟练使用VisualStudio集成开发环境，熟悉gitHub等代码托管和协同开发工具，良好的编程思维与编码习惯；3、熟悉MySql，SQLServer等数据库的特点与原理，熟悉数据库语法，能编写高质量的数据库语句；4、有一定web前端基础更佳，能准确理解需求，高效完成工作任务；5、能熟练使用办公软件编写文档；6、认真好学，积极乐观，踏实勤奋，有良好的沟通表达能力和团队协作开发能力；7、有较强的抗压能力薪资4K-8K，具体视工作能力与经验而定,北京市朝阳区北苑东路19号院中国铁建广场B座407,2018-03-18,北京-朝阳区,民营,20-99人,,大专,4001-6000元/月
北京,.net core,.net高级研发工程师,,北京春秋永乐文化传播股份有限公司,20001-30000,北京,最近,http://jobs.zhaopin.com/120357407251437.htm,1.参与软件的设计、开发、测试，能根据概要说明书编写软件功能设计或模块设计说明书；解决软件开发过程中关键和难点问题；2.负责定义和评估工作任务，协助计划的制定及执行；3.指导初级、中级软件开发工程师的工作;并进行一些必要的技术培训；4.可承担项目中开发团队管理，在项目组中需要能胜任开发组长职务；5.积极与产品经理及相关项目人员沟通与应变能力。,1.精通C#语言，对.Net框架有深入理解，对.NetCore有实际项目开发经验者优先；2.熟悉W3C标准，熟练掌握ASP.NETMVC、WebApi等Web开发技术；3.5年以上的.net使用经验，2个以上.net中大型项目开发经验，有丰富的企业级系统开发经验，熟练使用SQLServer、MySql等主流数据库系统；4.深入理解面向对象设计原则，具备良好的OO设计和开发能力；5.对.Net框架有深入理解，对日常工作中的技术难题有独立钻研攻克的能力；6.有工控硬件设备的.Net开发经验者优先；7.良好的沟通能力和团队合作意识、有研发团队管理经验并对团队工作任务有足够的把控能力，具有一定的产品思维；8.有票务业务系统开发者优先。,北京市海淀区北三环中路43号院,2018-03-18,北京,上市公司,500-999人,5-10年,本科,20001-30000元/月
北京,.net core,ASP.NET开发工程师,,鼎佑教育科技(北京)有限公司,10001-15000,北京-朝阳区,最近,http://jobs.zhaopin.com/613362783250002.htm,1、按照项目计划，按时提交高质量的代码，完成开发任务；2、参与详细设计，并且能参与部分模块的概要设计；3、解决开发过程中出现的各类技术问题；4、配合项目组完成技术手册以及用户技术培训。,1、计算机、软件工程相关专业，ASP.Net(C#)开发3年以上工作经验；2、熟悉数据库编程，精通数据库应用（MARIADB/MYSQL/SQLSERVER等）；3、熟悉SQLServer数据库并对PL/SQL语言有一定经验；4、熟练掌握.netframework、.netcore、.netcoremvc开发，能开发C/S和B/S构架的应用程序；5、有较强的敬业精神和团队协作精神、良好的学习能力和沟通能力；具有良好的职业素养；6、有强烈的上进心和求知欲，善于学习和运用新知识；7、具有良好的代码规范和编写习惯。,北京市朝阳区霄云路36号1幢14层10号房间,2018-03-18,北京-朝阳区,民营,100-499人,1-3年,大专,10001-15000元/月
北京,.net core,.Net开发工程师,,奇点新源国际技术开发(北京)有限公司,10000-20000,北京,招聘中,http://jobs.zhaopin.com/397300111250365.htm,1、根据功能要求完成设计、编码任务；2、编写功能的单元测试用例，完成单元测试；3、编写功能设计等相关文档；4、良好的学习能力，根据公司的技术路线完善个人技能；,1、本科及以上学历，三年以上.Net开发工作经验；2、精通 C# 开发语言，.Net Framework、.Net Core框架3、熟悉 WinForm 或 ASP.NET  MVC 开发；4、熟练 VS2017、GIT、SVN 等工具的使用；5、熟悉 Docker、Xamarin、Kafka 等其中一种技术优先,北京市朝阳区北苑路甲13号北辰泰岳大厦8层,2018-03-18,北京,上市公司,10000人以上,3-5年,本科,10000-20000元/月
